Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,Habitability_score
0.0,691,6.0,2,1.0,0.0,0,3.0,5.02,0.0,1.0,113.0,4.78,69.0
2.0,451,4.0,1,1.0,1.0,0,3.0,5.84,1.0,1.0,84.0,3.56,68.34
2.0,482,3.0,1,0.0,0.0,1,3.0,6.17,0.0,1.0,101.0,4.79,82.88
2.0,217,1.0,1,0.0,1.0,0,2.0,6.82,0.0,1.0,115.0,3.82,72.43
1.0,2943,11.0,3,2.0,1.0,0,1.0,6.6,1.0,1.0,130.0,2.87,70.64
3.0,1123,3.0,4,2.0,1.0,0,2.0,3.08,1.0,0.0,94.0,3.31,79.28
0.0,683,6.0,3,2.0,0.0,0,3.0,6.61,0.0,1.0,131.0,4.75,84.99
4.0,200,2.0,1,2.0,0.0,0,3.0,6.22,1.0,1.0,164.0,4.08,73.57
2.0,362,4.0,3,0.0,1.0,0,3.0,3.81,0.0,0.0,82.0,4.26,68.04
4.0,225,3.0,2,1.0,1.0,0,2.0,6.76,0.0,1.0,112.0,3.83,67.17
3.0,1749,4.0,1,2.0,1.0,0,2.0,5.92,1.0,1.0,103.0,3.22,73.67
1.0,2933,12.0,6,1.0,0.0,0,0.0,8.46,0.0,2.0,125.0,3.74,71.37
2.0,242,4.0,2,0.0,0.0,1,3.0,5.78,0.0,1.0,108.0,4.78,83.08
2.0,904,1.0,1,1.0,0.0,1,1.0,7.12,3.0,1.0,91.0,2.28,40.07
2.0,168,1.0,2,0.0,0.0,0,1.0,6.08,0.0,1.0,105.0,4.16,71.26
2.0,277,1.0,2,0.0,0.0,1,3.0,5.59,2.0,1.0,119.0,3.51,91.24
2.0,958,1.0,3,0.0,0.0,1,2.0,5.98,1.0,1.0,81.0,3.87,74.1
3.0,1591,3.0,4,0.0,1.0,0,2.0,7.23,0.0,1.0,97.0,3.84,91.17
2.0,538,4.0,2,0.0,0.0,1,3.0,4.79,1.0,1.0,98.0,4.17,76.81
2.0,191,2.0,2,0.0,0.0,0,1.0,7.0,0.0,1.0,158.0,4.08,79.4
2.0,781,1.0,1,1.0,0.0,1,3.0,7.65,2.0,1.0,149.0,3.46,77.35
4.0,462,0.0,1,0.0,0.0,1,3.0,8.27,1.0,2.0,177.0,3.99,71.42
2.0,263,1.0,1,0.0,0.0,0,2.0,7.05,0.0,1.0,133.0,4.43,91.63
2.0,136,3.0,2,0.0,0.0,1,2.0,4.15,1.0,1.0,98.0,3.86,75.3
3.0,1493,5.0,2,0.0,2.0,0,3.0,4.31,1.0,1.0,113.0,2.9,70.6
2.0,182,3.0,2,0.0,1.0,1,3.0,6.25,0.0,1.0,157.0,4.09,82.07
3.0,2032,2.0,2,0.0,0.0,0,2.0,6.78,0.0,1.0,130.0,4.43,69.23
2.0,491,3.0,3,0.0,0.0,0,1.0,5.68,0.0,1.0,100.0,4.16,90.31
2.0,7302,3.0,3,1.0,0.0,1,2.0,7.92,3.0,1.0,82.0,2.6,55.53
3.0,2164,3.0,4,0.0,0.0,0,3.0,5.66,1.0,1.0,97.0,4.17,91.82
0.0,778,6.0,3,0.0,3.0,0,2.0,5.86,2.0,1.0,82.0,1.36,44.74
2.0,379,2.0,1,0.0,2.0,0,0.0,6.55,1.0,1.0,129.0,1.93,33.07
4.0,233,3.0,1,0.0,1.0,0,3.0,6.81,0.0,1.0,112.0,4.14,84.38
1.0,2082,11.0,2,1.0,0.0,1,3.0,4.16,2.0,1.0,90.0,3.56,85.55
2.0,840,1.0,1,2.0,0.0,0,2.0,4.77,2.0,1.0,111.0,3.22,72.26
3.0,1725,4.0,2,0.0,0.0,0,3.0,5.7,1.0,1.0,120.0,4.14,89.7
2.0,265,3.0,1,1.0,0.0,0,3.0,8.48,2.0,2.0,181.0,3.36,32.34
4.0,23128,1.0,2,1.0,2.0,0,1.0,7.67,0.0,1.0,790.0,2.89,45.69
3.0,1576,5.0,3,1.0,0.0,1,2.0,5.19,1.0,1.0,114.0,3.84,74.95
2.0,304,4.0,1,0.0,0.0,0,2.0,5.62,1.0,1.0,84.0,3.87,83.23
3.0,1364,5.0,1,0.0,1.0,0,3.0,7.56,2.0,1.0,113.0,2.88,65.77
1.0,3342,5.0,6,0.0,0.0,0,1.0,5.07,1.0,1.0,80.0,3.57,72.3
2.0,409,3.0,1,0.0,1.0,0,1.0,8.67,0.0,2.0,191.0,3.34,72.89
0.0,651,4.0,3,0.0,1.0,0,2.0,8.4,1.0,2.0,195.0,3.02,70.55
2.0,812,4.0,3,0.0,0.0,0,1.0,6.74,0.0,1.0,123.0,4.13,88.75
1.0,2308,8.0,6,1.0,0.0,0,2.0,5.27,1.0,1.0,91.0,3.86,73.06
2.0,684,4.0,2,0.0,0.0,1,2.0,5.59,1.0,1.0,88.0,3.87,77.44
0.0,1005,5.0,3,1.0,1.0,0,3.0,5.63,2.0,1.0,87.0,2.93,33.94
3.0,1672,4.0,2,2.0,0.0,0,0.0,6.73,1.0,1.0,83.0,3.24,87.83
3.0,1192,5.0,2,0.0,0.0,0,1.0,5.81,2.0,1.0,96.0,2.91,75.23
3.0,2003,3.0,2,2.0,0.0,0,3.0,6.14,0.0,1.0,162.0,4.71,86.17
3.0,2290,2.0,2,1.0,0.0,0,3.0,5.55,1.0,1.0,88.0,4.18,73.03
2.0,112,3.0,1,2.0,0.0,0,3.0,6.0,1.0,1.0,95.0,4.17,70.87
0.0,777,7.0,2,0.0,2.0,0,2.0,4.81,2.0,1.0,103.0,1.97,45.66
2.0,209,1.0,3,2.0,1.0,0,3.0,3.15,1.0,0.0,75.0,3.65,78.14
2.0,497,3.0,3,2.0,0.0,0,1.0,6.95,0.0,1.0,104.0,4.15,75.72
2.0,699,1.0,2,1.0,0.0,0,3.0,6.03,0.0,1.0,151.0,4.73,77.41
0.0,649,7.0,3,0.0,1.0,1,3.0,5.46,1.0,1.0,119.0,3.51,76.96
0.0,518,5.0,2,0.0,1.0,0,1.0,7.3,0.0,1.0,161.0,3.45,73.55
3.0,13700,5.0,4,1.0,1.0,0,3.0,7.8,0.0,2.0,80.0,4.11,72.35
3.0,1986,5.0,2,0.0,0.0,0,1.0,5.78,0.0,1.0,112.0,4.15,76.37
1.0,2840,14.0,4,0.0,0.0,0,0.0,6.3,0.0,1.0,118.0,3.82,84.74
3.0,2281,4.0,4,0.0,0.0,0,1.0,7.8,1.0,1.0,119.0,3.5,71.15
3.0,1166,3.0,2,1.0,1.0,0,3.0,7.19,3.0,1.0,89.0,2.29,23.18
3.0,1145,2.0,3,2.0,0.0,0,3.0,7.08,0.0,1.0,117.0,4.76,85.57
3.0,1495,5.0,2,0.0,0.0,0,1.0,8.04,0.0,2.0,157.0,4.02,72.74
0.0,720,6.0,2,0.0,1.0,0,2.0,5.22,1.0,1.0,97.0,3.23,67.15
0.0,877,7.0,1,0.0,0.0,0,2.0,7.3,1.0,1.0,124.0,3.81,77.18
0.0,1255,6.0,2,1.0,2.0,0,3.0,5.67,2.0,1.0,95.0,2.29,41.75
3.0,1178,4.0,1,1.0,0.0,0,2.0,4.37,2.0,1.0,103.0,3.23,45.15
3.0,1500,5.0,3,0.0,0.0,1,0.0,5.68,1.0,1.0,94.0,3.23,71.15
2.0,980,3.0,2,0.0,1.0,1,3.0,5.97,1.0,1.0,106.0,3.53,75.76
3.0,2274,2.0,2,1.0,0.0,1,2.0,5.92,1.0,1.0,118.0,3.83,73.29
0.0,666,6.0,2,2.0,0.0,0,3.0,5.69,0.0,1.0,111.0,4.78,82.45
2.0,559,3.0,2,1.0,0.0,0,2.0,6.79,1.0,1.0,141.0,3.79,68.45
2.0,312,2.0,2,1.0,0.0,0,1.0,6.29,1.0,1.0,150.0,3.47,36.48
2.0,683,1.0,2,0.0,0.0,0,3.0,6.9,0.0,1.0,167.0,4.7,73.86
2.0,407,1.0,1,0.0,1.0,0,3.0,5.37,0.0,1.0,114.0,4.15,84.91
4.0,289,1.0,2,0.0,0.0,0,3.0,7.77,3.0,1.0,96.0,2.9,65.48
0.0,670,6.0,3,2.0,0.0,0,3.0,6.94,1.0,1.0,105.0,4.15,75.08
3.0,1345,3.0,2,0.0,1.0,0,2.0,2.58,1.0,0.0,23.0,3.4,75.39
3.0,9823,4.0,2,0.0,0.0,1,0.0,6.56,3.0,1.0,143.0,1.91,66.39
3.0,1409,2.0,4,1.0,0.0,0,3.0,7.62,1.0,1.0,93.0,4.16,62.92
2.0,730,2.0,2,1.0,0.0,0,1.0,7.04,1.0,1.0,150.0,3.47,47.11
3.0,1763,2.0,3,1.0,0.0,1,3.0,9.02,2.0,2.0,190.0,3.34,74.81
3.0,2070,5.0,1,1.0,0.0,0,2.0,7.97,0.0,1.0,124.0,4.43,82.85
1.0,2079,15.0,5,0.0,1.0,0,1.0,5.64,2.0,1.0,117.0,2.26,73.07
2.0,310,2.0,3,0.0,1.0,0,2.0,4.52,1.0,1.0,87.0,3.25,79.6
1.0,3289,12.0,2,2.0,0.0,1,3.0,6.33,1.0,1.0,115.0,4.14,88.48
0.0,724,6.0,3,1.0,1.0,0,1.0,6.28,0.0,1.0,158.0,3.46,60.17
2.0,604,3.0,3,0.0,0.0,0,3.0,6.5,0.0,1.0,157.0,4.72,73.94
3.0,1906,2.0,1,0.0,0.0,0,1.0,5.24,1.0,1.0,119.0,3.52,67.26
2.0,811,1.0,2,0.0,0.0,0,0.0,7.33,1.0,1.0,140.0,3.16,66.97
0.0,415,4.0,1,0.0,1.0,0,3.0,4.33,1.0,1.0,95.0,3.55,82.69
1.0,3638,9.0,3,1.0,2.0,1,2.0,7.32,0.0,1.0,150.0,3.15,90.78
2.0,171,3.0,3,1.0,1.0,0,3.0,6.87,0.0,1.0,80.0,4.18,63.83
2.0,239,3.0,2,0.0,0.0,0,3.0,6.45,0.0,1.0,100.0,4.79,76.87
3.0,1434,4.0,3,0.0,1.0,0,3.0,6.56,0.0,1.0,124.0,4.13,90.16
2.0,824,1.0,2,2.0,2.0,0,3.0,7.26,0.0,1.0,150.0,3.46,72.47
2.0,176,1.0,3,1.0,0.0,1,2.0,8.52,0.0,2.0,187.0,4.29,83.1
2.0,373,3.0,3,0.0,0.0,0,1.0,5.63,1.0,1.0,85.0,3.56,78.88
2.0,204,1.0,2,0.0,1.0,0,2.0,6.82,0.0,1.0,247.0,3.77,80.95
4.0,309,2.0,1,0.0,0.0,0,1.0,5.86,1.0,1.0,117.0,3.51,61.08
4.0,236,2.0,2,2.0,1.0,0,0.0,4.71,1.0,1.0,114.0,2.58,70.51
3.0,1344,2.0,4,1.0,0.0,0,2.0,3.33,1.0,0.0,24.0,4.02,64.49
3.0,1107,2.0,4,0.0,0.0,0,1.0,6.71,0.0,1.0,129.0,4.12,74.41
2.0,207,2.0,2,0.0,0.0,0,3.0,7.7,0.0,1.0,160.0,4.7,75.2
4.0,330,1.0,1,0.0,0.0,1,3.0,5.86,0.0,1.0,114.0,4.77,85.16
3.0,1365,5.0,2,2.0,0.0,0,1.0,5.2,2.0,0.0,114.0,2.96,82.64
3.0,1201,5.0,2,1.0,0.0,1,2.0,6.56,0.0,1.0,131.0,4.43,74.92
0.0,916,6.0,3,1.0,0.0,0,3.0,4.6,1.0,1.0,97.0,4.18,67.0
2.0,386,3.0,1,1.0,2.0,0,3.0,5.19,2.0,1.0,115.0,2.27,32.41
3.0,23693,2.0,2,2.0,0.0,0,2.0,6.65,0.0,1.0,152.0,4.41,80.83
3.0,2141,2.0,3,0.0,3.0,0,3.0,5.78,0.0,1.0,103.0,2.91,78.86
3.0,2209,3.0,3,0.0,0.0,1,2.0,5.87,1.0,1.0,95.0,3.86,80.53
3.0,1507,5.0,2,0.0,0.0,0,2.0,6.34,0.0,1.0,161.0,4.4,74.11
0.0,966,5.0,1,0.0,1.0,0,3.0,6.78,1.0,1.0,159.0,3.46,76.15
4.0,269,1.0,1,1.0,0.0,0,3.0,7.06,0.0,1.0,151.0,4.72,75.86
2.0,178,4.0,3,0.0,0.0,0,2.0,6.66,0.0,0.0,150.0,4.47,68.4
0.0,994,4.0,2,0.0,1.0,0,3.0,7.78,2.0,1.0,121.0,2.87,71.52
0.0,886,6.0,3,0.0,1.0,1,3.0,5.76,2.0,1.0,89.0,2.92,93.25
2.0,621,1.0,2,0.0,0.0,1,3.0,6.1,1.0,1.0,119.0,4.14,76.86
0.0,673,7.0,1,1.0,0.0,0,3.0,7.11,0.0,1.0,98.0,4.79,68.32
3.0,1261,4.0,2,0.0,0.0,0,1.0,6.06,1.0,1.0,152.0,3.47,66.28
2.0,448,4.0,3,1.0,0.0,0,1.0,2.76,0.0,0.0,45.0,4.31,73.59
2.0,119,3.0,3,2.0,0.0,0,3.0,4.18,1.0,1.0,119.0,4.15,74.28
4.0,414,3.0,2,0.0,0.0,0,3.0,7.38,0.0,1.0,152.0,4.72,72.16
2.0,668,4.0,3,0.0,0.0,1,2.0,7.28,1.0,1.0,143.0,3.79,74.62
2.0,998,4.0,1,1.0,0.0,0,3.0,7.65,1.0,1.0,148.0,4.09,70.37
3.0,1635,2.0,1,1.0,1.0,0,3.0,5.56,1.0,1.0,88.0,3.55,62.5
3.0,1611,2.0,1,0.0,0.0,0,1.0,7.26,2.0,1.0,96.0,2.9,73.69
2.0,157,4.0,2,0.0,0.0,0,3.0,6.56,0.0,1.0,110.0,4.77,93.48
2.0,484,4.0,1,1.0,1.0,0,2.0,4.43,0.0,0.0,98.0,3.92,63.45
2.0,802,1.0,2,0.0,0.0,0,2.0,6.0,1.0,1.0,153.0,3.78,83.01
0.0,10867,5.0,2,1.0,0.0,1,3.0,7.94,3.0,1.0,134.0,2.85,57.84
0.0,1048,4.0,3,1.0,0.0,0,3.0,4.86,2.0,1.0,118.0,3.52,62.15
2.0,324,4.0,1,1.0,1.0,1,3.0,8.56,0.0,2.0,169.0,4.0,70.25
3.0,1948,2.0,2,1.0,1.0,1,3.0,5.59,2.0,1.0,104.0,2.91,81.12
1.0,3718,15.0,4,0.0,1.0,0,3.0,7.92,0.0,1.0,88.0,4.17,72.3
3.0,2299,4.0,2,1.0,0.0,0,2.0,5.88,1.0,1.0,83.0,3.87,67.0
3.0,1763,3.0,4,2.0,0.0,0,2.0,9.34,0.0,2.0,129.0,4.36,76.57
3.0,1658,5.0,3,0.0,3.0,0,2.0,7.6,0.0,1.0,128.0,2.55,74.26
0.0,1103,4.0,1,0.0,1.0,0,3.0,6.62,2.0,1.0,154.0,2.84,77.15
0.0,1283,5.0,3,1.0,0.0,1,3.0,6.19,1.0,1.0,85.0,4.18,67.71
0.0,623,4.0,2,0.0,3.0,0,3.0,6.1,0.0,1.0,81.0,2.93,74.91
3.0,1749,5.0,2,1.0,0.0,0,1.0,6.69,0.0,1.0,124.0,4.13,81.63
3.0,1962,3.0,2,0.0,1.0,1,3.0,6.36,1.0,1.0,144.0,3.48,80.51
3.0,1767,4.0,4,1.0,1.0,0,2.0,5.67,1.0,1.0,84.0,3.24,63.42
2.0,344,2.0,3,0.0,0.0,0,2.0,5.44,1.0,1.0,118.0,3.83,66.81
3.0,1502,4.0,2,1.0,2.0,0,3.0,6.4,1.0,1.0,83.0,2.93,36.35
2.0,825,3.0,1,0.0,0.0,0,3.0,5.82,0.0,1.0,100.0,4.79,70.71
3.0,1269,5.0,1,1.0,0.0,0,2.0,7.49,2.0,1.0,143.0,3.16,46.74
0.0,987,6.0,2,0.0,0.0,0,0.0,6.22,0.0,1.0,98.0,3.85,73.32
2.0,479,4.0,1,1.0,1.0,0,1.0,7.37,0.0,1.0,152.0,3.46,54.54
2.0,447,2.0,1,0.0,1.0,1,3.0,7.35,0.0,1.0,152.0,4.09,78.84
0.0,431,4.0,1,0.0,1.0,0,3.0,5.56,0.0,1.0,107.0,4.16,80.25
3.0,1259,2.0,2,0.0,1.0,0,3.0,7.38,0.0,1.0,105.0,4.15,93.82
3.0,1156,2.0,4,0.0,0.0,0,0.0,6.82,0.0,1.0,119.0,3.82,77.82
4.0,403,3.0,1,0.0,0.0,0,2.0,6.1,1.0,1.0,131.0,3.81,68.65
3.0,2047,4.0,1,0.0,0.0,1,3.0,6.77,1.0,1.0,94.0,4.17,85.67
2.0,151,1.0,3,2.0,2.0,0,0.0,4.94,1.0,1.0,91.0,1.98,69.4
1.0,2218,9.0,3,1.0,1.0,0,0.0,2.52,0.0,0.0,34.0,3.39,74.88
3.0,1677,3.0,2,0.0,1.0,1,2.0,6.58,0.0,1.0,156.0,3.77,84.3
2.0,215,4.0,1,0.0,0.0,0,2.0,5.68,0.0,1.0,93.0,4.49,85.41
4.0,269,3.0,1,2.0,0.0,0,1.0,7.86,1.0,1.0,112.0,3.51,92.32
2.0,165,3.0,2,1.0,2.0,1,1.0,6.79,0.0,1.0,117.0,2.88,79.75
2.0,708,2.0,3,0.0,0.0,0,1.0,5.53,1.0,1.0,112.0,3.52,64.61
1.0,4005,14.0,5,0.0,0.0,0,3.0,6.65,0.0,1.0,121.0,4.76,79.27
4.0,391,0.0,1,1.0,0.0,1,1.0,9.49,1.0,2.0,157.0,3.38,66.8
2.0,540,2.0,3,2.0,0.0,0,3.0,3.39,0.0,0.0,71.0,4.91,90.16
3.0,2185,5.0,1,0.0,0.0,0,2.0,4.22,0.0,1.0,117.0,4.47,75.66
4.0,337,3.0,1,2.0,2.0,0,3.0,5.94,1.0,1.0,101.0,2.91,86.91
3.0,1948,4.0,4,2.0,3.0,0,1.0,6.13,0.0,1.0,109.0,2.27,81.89
1.0,3237,7.0,3,1.0,0.0,0,3.0,6.54,2.0,1.0,83.0,3.55,57.86
2.0,880,3.0,2,0.0,1.0,1,3.0,6.23,0.0,1.0,156.0,4.09,78.76
3.0,1559,2.0,4,1.0,1.0,0,1.0,5.55,1.0,1.0,111.0,2.9,32.35
1.0,3940,8.0,3,2.0,0.0,0,0.0,3.76,1.0,0.0,84.0,3.32,77.65
2.0,950,2.0,1,0.0,0.0,0,3.0,7.0,1.0,1.0,163.0,4.08,87.36
2.0,620,1.0,3,0.0,0.0,0,2.0,5.4,0.0,1.0,95.0,4.49,88.54
3.0,1517,5.0,2,0.0,1.0,0,3.0,8.67,2.0,2.0,181.0,2.73,55.6
0.0,1079,5.0,1,2.0,1.0,0,3.0,6.74,0.0,1.0,109.0,4.15,77.73
2.0,220,3.0,3,0.0,2.0,0,3.0,4.83,1.0,1.0,114.0,2.9,59.26
2.0,269,3.0,1,1.0,1.0,0,3.0,8.43,3.0,2.0,194.0,2.08,23.12
3.0,2077,3.0,1,0.0,0.0,0,2.0,6.86,2.0,1.0,162.0,3.14,79.33
3.0,1522,5.0,3,0.0,0.0,0,3.0,5.05,1.0,1.0,115.0,4.15,85.71
0.0,1000,5.0,3,1.0,2.0,1,3.0,6.15,2.0,1.0,107.0,2.27,76.86
2.0,474,1.0,2,0.0,0.0,0,1.0,5.3,0.0,1.0,98.0,4.17,82.49
3.0,1645,4.0,4,0.0,0.0,0,1.0,6.48,0.0,1.0,133.0,4.12,92.15
2.0,641,3.0,2,0.0,1.0,0,2.0,5.98,1.0,1.0,83.0,3.24,62.38
4.0,289,0.0,1,2.0,0.0,0,2.0,5.85,1.0,1.0,83.0,3.87,73.71
2.0,368,4.0,2,0.0,0.0,0,3.0,6.28,0.0,1.0,143.0,4.73,68.88
1.0,3662,12.0,5,1.0,0.0,0,1.0,6.12,0.0,1.0,123.0,4.13,74.36
0.0,1041,6.0,3,1.0,0.0,0,3.0,7.99,0.0,1.0,153.0,4.71,82.46
3.0,1669,5.0,1,0.0,2.0,1,1.0,6.16,2.0,1.0,119.0,1.63,76.2
3.0,1294,3.0,2,1.0,0.0,1,2.0,6.17,0.0,1.0,159.0,4.4,74.51
2.0,357,2.0,2,1.0,0.0,0,0.0,7.74,3.0,1.0,167.0,1.87,22.88
4.0,340,0.0,1,2.0,1.0,1,1.0,6.67,0.0,1.0,107.0,3.52,85.74
3.0,2039,4.0,1,1.0,0.0,0,3.0,5.44,2.0,2.0,81.0,3.5,48.84
1.0,3968,9.0,2,0.0,2.0,0,3.0,5.01,2.0,1.0,118.0,2.26,70.43
2.0,445,2.0,2,0.0,1.0,0,3.0,4.54,0.0,1.0,115.0,4.15,89.65
3.0,1828,5.0,3,0.0,1.0,0,1.0,8.09,0.0,2.0,183.0,3.36,80.27
0.0,670,7.0,2,0.0,1.0,0,2.0,8.4,3.0,2.0,167.0,1.8,37.83
3.0,1340,3.0,3,2.0,0.0,0,3.0,7.63,0.0,1.0,170.0,4.69,83.26
2.0,814,2.0,1,2.0,1.0,0,3.0,5.99,0.0,2.0,94.0,4.11,73.34
2.0,618,2.0,3,0.0,1.0,0,3.0,7.34,2.0,1.0,101.0,2.9,62.45
3.0,1686,4.0,1,1.0,1.0,0,3.0,6.58,1.0,1.0,88.0,3.55,75.33
1.0,1844,7.0,2,1.0,0.0,0,0.0,6.08,0.0,1.0,106.0,3.84,63.26
2.0,236,3.0,2,0.0,0.0,0,1.0,6.89,1.0,1.0,148.0,3.47,60.35
2.0,608,3.0,1,0.0,0.0,0,2.0,7.05,0.0,1.0,148.0,4.41,83.26
2.0,934,2.0,3,1.0,0.0,0,1.0,6.61,0.0,1.0,121.0,4.13,75.59
3.0,2152,4.0,2,2.0,1.0,0,3.0,7.15,1.0,2.0,84.0,3.49,70.45
3.0,1867,3.0,3,0.0,0.0,0,1.0,6.11,2.0,1.0,121.0,2.88,65.49
3.0,1625,2.0,2,0.0,1.0,0,3.0,6.87,0.0,1.0,102.0,4.15,88.75
3.0,1548,4.0,4,0.0,0.0,1,1.0,6.45,0.0,1.0,151.0,4.1,83.24
3.0,1480,4.0,3,0.0,0.0,1,3.0,8.44,0.0,2.0,161.0,4.64,84.59
0.0,1126,4.0,2,0.0,1.0,0,3.0,4.96,1.0,1.0,113.0,3.53,73.67
3.0,1653,5.0,1,2.0,0.0,0,3.0,2.93,0.0,0.0,5.0,4.99,97.83
3.0,1244,4.0,4,1.0,0.0,0,3.0,5.9,2.0,1.0,95.0,3.54,69.24
3.0,1351,3.0,2,0.0,3.0,0,2.0,7.73,1.0,1.0,123.0,1.93,69.64
3.0,1505,3.0,1,2.0,2.0,0,3.0,5.28,1.0,1.0,91.0,2.92,91.43
0.0,495,6.0,3,0.0,0.0,0,3.0,5.66,0.0,1.0,97.0,4.8,70.86
2.0,663,3.0,3,1.0,1.0,0,3.0,5.11,1.0,1.0,115.0,3.52,56.14
1.0,2514,9.0,2,1.0,0.0,0,3.0,6.76,1.0,1.0,153.0,4.09,69.51
2.0,479,1.0,2,1.0,1.0,0,2.0,7.46,0.0,1.0,111.0,3.83,73.69
2.0,692,1.0,1,1.0,0.0,0,3.0,7.48,0.0,1.0,95.0,4.79,77.81
2.0,171,4.0,2,0.0,0.0,0,0.0,7.33,0.0,1.0,169.0,3.75,72.63
1.0,2509,13.0,5,0.0,1.0,1,3.0,6.96,0.0,1.0,109.0,4.15,88.61
2.0,488,2.0,2,0.0,0.0,1,3.0,6.58,0.0,1.0,169.0,4.7,82.53
3.0,1546,2.0,2,2.0,0.0,0,2.0,7.63,0.0,1.0,145.0,4.41,79.6
2.0,731,4.0,3,1.0,3.0,0,3.0,4.41,1.0,1.0,98.0,2.29,42.27
2.0,746,2.0,2,0.0,0.0,0,3.0,6.98,1.0,1.0,85.0,4.18,86.26
3.0,1246,4.0,4,0.0,0.0,0,3.0,6.03,3.0,1.0,157.0,2.84,64.27
4.0,251,2.0,2,0.0,0.0,1,2.0,3.49,0.0,0.0,42.0,4.63,89.66
3.0,2088,5.0,1,0.0,1.0,0,3.0,4.25,2.0,1.0,97.0,2.92,62.62
3.0,2291,3.0,4,2.0,0.0,0,1.0,6.28,0.0,1.0,101.0,4.16,84.12
4.0,263,2.0,1,2.0,1.0,0,2.0,6.1,0.0,1.0,104.0,3.84,69.43
2.0,484,1.0,3,0.0,0.0,1,0.0,5.64,1.0,1.0,81.0,3.25,86.28
